ID,Address,Latitude,Longitude 
0,1525 La Loma Ave,37.8807012967599,-122.257928923817 
1,1530 La Loma Ave,37.8805333895973,-122.258346973849 
2,1546 La Loma Ave,37.8801510629075,-122.258027514171 
3,1551 La Vereda Rd,37.8806750015341,-122.257696278516 
4,1553 La Vereda Rd,37.8806863665691,-122.257522621865 
5,1555 La Vereda Rd,37.8809498944461,-122.257544873843 
6,1570 La Vereda Rd,37.8804017847404,-122.257256405133 
7,1575 La Vereda Rd,37.8806395335336,-122.256966077855 
8,1585 La Vereda Rd,37.8804688598153,-122.256814178911 
9,1589 La Vereda Rd,37.8805332163224,-122.256537205352 
10,1590 La Vereda Rd,37.8800995618228,-122.257286241593 
11,1595 La Vereda Rd,37.8802046988122,-122.256473519072 
12,1597 Le Roy Ave,37.8799449645723,-122.258582149618 
13,1600 La Loma Ave,37.8795898588005,-122.257934816176 
14,1601 La Vereda Rd,37.8799193825654,-122.256318677598 
15,1606 La Vereda Rd,37.8796323533978,-122.256816477612 
16,1609 La Vereda Rd,37.8796889272119,-122.256496404472 
17,1615 La Vereda Rd,37.8795289449086,-122.256389845599 
18,1616 La Vereda Rd,37.8793975527672,-122.256657195482 
19,1619 Le Roy Ave,37.8794390909121,-122.258444612967 
20,1628 La Loma Ave,37.8794559762339,-122.257872256387 
21,1629 La Vereda Rd,37.8791190659749,-122.256133201925 
22,1631 La Vereda Rd,37.878995460163,-122.256111458329 
23,1633 La Vereda Rd,37.8788707813247,-122.256085683159 
24,1634 La Loma Ave,37.8793303426522,-122.257890086022 
25,1639 La Vereda Rd,37.8787562577475,-122.256067350395 
26,1640 La Loma Ave,37.879115363871,-122.257631391933 
27,1643 Le Roy Ave,37.8792517588969,-122.258201794164 
28,1644 La Loma Ave,37.8792061795241,-122.257780299733 
29,1645 La Loma Ave,37.8792347794546,-122.257499926374 
30,1647 La Loma Ave,37.8792524850416,-122.257301754332 
31,1670 La Loma Ave,37.8787133369376,-122.257279146387 
32,1675 La Loma Ave,37.8788544161266,-122.256858412357 
33,1680 La Loma Ave,37.8785939324578,-122.25738433235 
34,1680 La Vereda Rd,37.8664677331047,-122.298856608626 
35,1683 (back rental) La Loma Ave,37.8664677331047,-122.298856608626 
36,1683 La Loma Ave,37.8785960838362,-122.25677832341 
37,1688 La Loma Ave,37.8784794655475,-122.257361549716 
38,1700 La Loma Ave,37.8779763690028,-122.257257852018 
39,1700 La Vereda Rd,37.87787074466,-122.255889115779 
40,1700 La Loma Ave,37.8779763690028,-122.257257852018 
40a,1708 La Loma Ave,37.8778999181693,-122.257133144803 
40b,1710 La Loma Ave,37.8778116500662,-122.257148226575 
41,1701 La Vereda Rd,37.8785860911207,-122.256079206014 
42,1705 La Loma Ave,37.8780853708448,-122.256706245972 
43,1709 La Loma Ave,37.8778801729389,-122.256666000222 
44,1715 La Loma Ave,37.8777570101595,-122.256527249901 
45,1724 La Vereda Rd,37.8781546541593,-122.255886593449 
46,1730 La Vereda Rd,37.878175917303,-122.255711679141 
47,1731 La Vereda Rd,37.8786951175892,-122.255721141905 
48,1732 La Vereda Rd,37.8778661311024,-122.255459216179 
49,1735 La Vereda Rd,37.8787234798186,-122.25553459154 
50,2611 Le Conte Ave,37.8772954328239,-122.258584949481 
51,2617 Le Conte Ave,37.8775474310025,-122.257957514009 
52,2634 #25 Virginia St,37.8778653009256,-122.258110225403 
53,2634 Le Conte Ave,37.8769986190926,-122.257974146321 
54,2634 Virginia St,37.8778653009256,-122.258110225403 
55,2639 Cedar St,37.8800680546396,-122.258340563085 
56,2644 Cedar St,37.8795704136998,-122.258207150432 
57,2649 Cedar St,37.8798910909689,-122.258208239833 
58,2650 Hilgard Ave,37.8787215877625,-122.258201302004 
59,2655 #A Virginia St,37.8784039080598,-122.257956175294 
60,2655 #C Virginia St,37.8784039080598,-122.257956175294 
61,2655 Virginia St,37.8784039080598,-122.257956175294 
62,2656  Virginia St,37.8778986499867,-122.257856566169 
63,2661 Cedar St,37.8800190323656,-122.257947187596 
64,2663 Le Conte Ave,37.8775798633865,-122.257788568831 
65,2666 Virginia St,37.8779217467612,-122.257686856814 
66,2670 Hilgard Ave,37.8787669693013,-122.257857003109 
67,2680 Hilgard Ave,37.8789094456368,-122.257718518252 
68,2682 Hilgard Ave,37.8789186097834,-122.257678325249 
69,2692 Hilgard Ave,37.8789572458503,-122.257435445033 
70,2694 Hilgard Ave,37.8788083584025,-122.257515651844 
71,2695 Le Conte Ave,37.8776491598047,-122.257201327275 
72,2696 Cedar St,37.879659059813,-122.258055659562 
73,2701 Virginia St,37.8784446001172,-122.256847643462 
74,2702 (Upper unit) Virginia St,37.8664677331047,-122.298856608626 
75,2706 Virginia St,37.8777992368217,-122.256153109633 
76,2708 Virginia St,37.878148276548,-122.256210875545 
77,2709 Hilgard Ave,37.87938215164,-122.256970619873 
78,2711 #A Virginia St,37.8785622235843,-122.256468827792 
79,2711 #B Virginia St,37.8785622235843,-122.256468827792 
80,2711 #D Virginia St,37.8785622235843,-122.256468827792 
81,2711 Virginia St,37.8785622235843,-122.256468827792 
82,2711 #C Virginia St,37.8785622235843,-122.256468827792 
83,2750 Buena Vista Way,37.8811732520599,-122.257279896359 
84,2772 (Lower Unit) Hilgard Ave,37.8664677331047,-122.298856608626 
85,2776 Hilgard Ave,37.879070816445,-122.255544168973 
86,2777 Hilgard Ave,37.8795828430346,-122.255628082079 
87,2805 Hilgard Ave,37.8787627023833,-122.255188453396 
